Type	ID6	ID8	ID9
1:Del:C:0	0.030506799	0.039827558	0.33493988
1:Del:C:1	0.005491903	0.023915938	0.099994226
1:Del:C:2	0.008033994	0.003330554	0.002690655
1:Del:C:3	0.001102379	0.005403153	0.010625416
1:Del:C:4	0.00247817	0.001275709	0.012496902
1:Del:C:5	0.001322073	0.000933729	4.48e-05
1:Del:T:0	0.004284162	0.034243687	0.105105373
1:Del:T:1	0.000677688	0.010452076	0.044293641
1:Del:T:2	0.011659665	0.00899203	0.085861956
1:Del:T:3	0.022242391	0.009825045	0.113250663
1:Del:T:4	0.017697141	0.00127378	0.094412737
1:Del:T:5	0.007954345	0.010620342	0.000929835
1:Ins:C:0	0.002086887	0.002764271	5.41e-18
1:Ins:C:1	0.001773433	0.002169119	1.93e-06
1:Ins:C:2	0.000246169	0.001527	0.000352623
1:Ins:C:3	0.000232169	0.000116524	5.41e-18
1:Ins:C:4	0.000376592	0.000554177	2.16e-06
1:Ins:C:5	0.000247997	0.000489489	7.37e-05
1:Ins:T:0	0.006396251	0.004507979	0.012614484
1:Ins:T:1	0.001041187	0.004868696	0.010385274
1:Ins:T:2	0.000738848	0.001429636	0.002314663
1:Ins:T:3	0.000930638	0.001087286	0.001600885
1:Ins:T:4	0.001349852	0.000822618	0.001585355
1:Ins:T:5	0.014390041	0.020161248	0.00577248
2:Del:R:0	0.001783647	0.008769219	0.013174747
2:Del:R:1	0.002454347	0.010307145	0.003198541
2:Del:R:2	0.0020886	0.000532026	0.001189697
2:Del:R:3	0.000525746	2.71e-05	9.59e-05
2:Del:R:4	0.000232527	0.000274027	5.41e-18
2:Del:R:5	0.000215685	0.000833079	5.41e-18
3:Del:R:0	0.001051047	0.010964101	0.002858095
3:Del:R:1	0.005413653	0.001348867	0.00430191
3:Del:R:2	0.000536054	0.000376571	0.001275717
3:Del:R:3	4.7e-05	0.000253509	0.00030211
3:Del:R:4	7.31e-05	2.68e-06	5.41e-18
3:Del:R:5	0.000150616	9.1e-05	5.41e-18
4:Del:R:0	0.002315098	0.006691309	0.001432774
4:Del:R:1	0.002806729	0.001622955	0.004594217
4:Del:R:2	0.00047449	0.000272623	0.000896024
4:Del:R:3	0.000291345	2.88e-05	2.38e-05
4:Del:R:4	0.000110576	9.73e-05	5.41e-18
4:Del:R:5	5.68e-05	6.34e-06	1.37e-05
5:Del:R:0	0.019333291	0.237978862	0.000772052
5:Del:R:1	0.007501825	0.000572257	0.000479551
5:Del:R:2	0.000370524	0.000516838	0.000264969
5:Del:R:3	0.000168175	8.16e-06	6.12e-06
5:Del:R:4	5.32e-05	0.000112898	7.25e-06
5:Del:R:5	1.15e-05	4.43e-05	2.99e-05
2:Ins:R:0	0.001998387	0.00191671	0.001162339
2:Ins:R:1	0.000208533	0.001661816	0.002100192
2:Ins:R:2	0.000790414	0.000304586	0.000760941
2:Ins:R:3	0.000499074	0.000177583	0.000351635
2:Ins:R:4	0.000189469	1.66e-05	3.07e-05
2:Ins:R:5	0.000748642	0.001764384	5.41e-18
3:Ins:R:0	0.001219185	0.000667863	0.000254573
3:Ins:R:1	0.000288615	0.000671723	0.000823355
3:Ins:R:2	0.000746533	0.000135768	0.000118261
3:Ins:R:3	0.000249737	3.79e-05	5.18e-06
3:Ins:R:4	0.000155952	0.000122041	1.61e-05
3:Ins:R:5	1.98e-05	3.66e-05	5.41e-18
4:Ins:R:0	0.001467917	0.000777758	0.000164387
4:Ins:R:1	0.000476283	0.001103901	0.000715565
4:Ins:R:2	0.000528663	7.99e-05	4.24e-05
4:Ins:R:3	0.000334824	8.58e-06	2.15e-05
4:Ins:R:4	5.6e-05	0.000205515	5.41e-18
4:Ins:R:5	0.000106861	0.000885225	2.18e-06
5:Ins:R:0	0.008716781	0.000318329	0.000165846
5:Ins:R:1	0.005405643	0.009761114	0.001253996
5:Ins:R:2	0.001321843	0.000101153	0.000102849
5:Ins:R:3	2.88e-05	7.09e-05	8.02e-05
5:Ins:R:4	4.83e-05	6.74e-06	5.05e-05
5:Ins:R:5	6.17e-05	0.000190551	9.89e-06
2:Del:M:1	0.000632866	0.004913672	0.003900972
3:Del:M:1	0.000990097	0.009290337	0.003011328
3:Del:M:2	0.00443363	0.004302693	0.001543302
4:Del:M:1	0.002745395	0.005809551	0.001927721
4:Del:M:2	0.00868271	0.001591587	0.003297448
4:Del:M:3	0.004773094	0.001098342	0.002544079
5:Del:M:1	0.071066579	0.28072426	3.54e-05
5:Del:M:2	0.253108348	0.123610163	0.000221236
5:Del:M:3	0.216806033	0.046130408	0.000570907
5:Del:M:4	0.120483943	0.016367256	0.000448308
5:Del:M:5	0.099282999	0.012814882	5.41e-18
